Name;DisplayName
;
_11_Auto_Manual, _12_Auto_Manual, Auto_Manual, Switch_Auto;Auto_Manual_Switch
_12_Eco, _13_Eco, Eco;Eco 
_13_Float_Switch, Float_Switch;Float_Switch
_14_Borhole_Float_Switch, _24_Borhole_Float_Switch, Borhole_Float_Switch, BorholeFloatSwitch, Borehole_lvl;Borehole_Float_Switch
_15_Grid_is_On, _27_Grid_is_ON, Grid_is_ON, Grid_is_On, GridisON;Grid_Switch
_16_Alarm_Well_Water;Borehole_empty
_16_Comp_Run, Comp_Run;Comp_Run
_17_Evap_Run, Evap_Run;Evap_Run
_18_Alarm_Inverter, _19_Alarm_Temperature_Inverter, Alarm_Inverter, Alarm_Temperature_Inverter;Alarm_Temp_Inverter
_18_Pump_Run, Pump_Run;Pump_Run
_20_Alarm_UV_Lamp, Alarm_UV_Lamp;Alarm_UV_Lamp
_20_Fan_1_Alarm, _32_Alarm_Fan_1, Alarm_Fan_1, Fan_1_Alarm, _21_Fan_2_Alarm, Alarm_Fan_2, Fan_2_Alarm, _33_Alarm_Fan_2;Alarm_Fan_1
_21_Alarm_6_Water_Meter, Alarm_6_Water_Meter;Alarm_Watermeter
_22_Evap_Motor_Alarm,_34_Alarm_Evap,_41_Alarm_Evap_Rotation, Alarm_Evap, Alarm_Evap_Rotation, Evap_Motor_Alarm;Alarm_Evap_Motor
_23_Comp_Alarm, _35_Alarm_Comp, Alarm_Comp, Comp_Alarm;Alarm_Comp
_25_Tank_High_Level, Tank_High_Level, _26_Tank_Low_Level, Tank_Low_Level;Tank_High_Level
_28_Alarm_Lid, Alarm_Lid, _12_Lid_Alarm;Alarm_Lid
_29_Alarm_Inlet_Valve_Water, Alarm_Inlet_Valve_Water;Alarm_Inlet_Valve
_30_Alarm_Drain_Valve, Alarm_Drain_Valve;Alarm_Drain_Valve
_31_Alarm_DPS, Alarm_DPSe;Alarm_DPS
_36_Alarm_Inverter_A, _42_Alarm_Inverter_1_Over_Temperature, Alarm_Inverter_1_Over_Temperature; AlarmBohrholeInverterTemperature";Alarm_Temp_Inverter1
_39_Alarm_Tank;Alarm_Tank 
_50_Solar_Power, _62_Solar_Power_KWh_Total, _73_Solar_Power_KWh_Total, Solar_Power;Solar_Power
_51_Grid_Power, Grid_Power;Grid_Power
_52_Total_Power, _70_Output_Power_KWh_Total, _81_Output_Power_KWh_Total, Output_Power_KWh_Total, Total_Power;Total_Power
_53_Evap_Power, Evap_Power;Evap_Power
_53_Pump_Power, Pump_Power;Pump_Power
_54_Comp_Power, Comp_Power;Comp_Power
_54_Machine_Capacity, _56_Machine_Capacity, Machine_Capacity, MachineCapacity;Machine_Capacity
_55_Machine_Grid_Percentage, _57_Machine_Grid_Percentage, Machine_Grid_Percentage, MachineGridPercentage;Machine_Grid_Percentage
_55_Pump_Power;Borehole_Pump_Power
_56_Machine_Solar_Percentage, _58_Machine_Solar_Percentage, Machine_Solar_Percentage, MachineSolarPercentage;Machine_Solar_Percentage
_59_DC_Voltage, DC_Voltage;DC_Voltage
